,序号,题目,会议名称,地点,发表类型,年份,时间
0,1,基于多学科交叉的绿氢与石化产业耦合技术经济决策优化研究,绿色能源化工生态链技术研讨大会,上海,主旨演讲,2025,2025-06-19
1,2,电网经济运行技术管理,中国石化中原油田电网新技术培训班,0,培训,2025,2025-11-04
2,3,发展中国家应对全球能源格局转变的可持续发展路径,商务部约旦能源效率与节能技术及方法研修班,北京,培训,2025,2025-05-19
16,17,面向碳中和的绿色电氢耦合模型与政策,教育部碳中和能源管理虚拟教研室2024年会暨能源转型论坛,北京,口头发表,2024,2024-08-27
18,19,碳中和绿色电氢耦合模型与政策,第三届碳中和（西安）国际论坛会议,西安,主旨演讲,2024,2024-10-30
14,15,面向碳中和的中国电力系统技术-市场-政策综合分析模型,新能源电力与低碳重点实验室2023年度会议  ,北京,口头发表,2023,2023-02-22
13,14,氢燃料电池在地面交通领域应用趋势,2023 氢能及燃料电池汽车商业化精品论坛,上海,主旨演讲,2023,2023-12-13
12,13,基于电力市场-规划-调度一体决策模型的电氢耦合价值分析,2022 年度宏观管理与政策学科青年基金项目交流会,成都,口头发表,2023,2023-09-12
15,16,内生供电可靠性约束的中国电-碳-绿多市场多区域均衡模型,第十二届中国能源经济与管理学术年会,延安,口头发表,2023,2023-05-28
19,20,中国可再生能源发展政策研究,中国石油大学(北京)克拉玛依校区青蓝学术沙龙第十一期,克拉玛依,讲座,2022,2022-10-18
17,18,基于平台经济的长途货运氢能重卡替代机制研究,“创新氢能技术”校内交流会,北京,口头发表,2022,2022-03-19
10,11,中国碳交易与可再生能源配额政策协同作用研究,第六届中国能源模型论坛年会,北京,口头发表,2020,2020-01-08
11,12,The impact of social network on the adoption of real-time electricity pricing mechanism,第二届能源资源系统工程学术年,北京,口头发表,2017,2017-05-14
9,10,The impact of rural social network on the adoption of Photovoltaic poverty alleviation projects,第五届全国低碳发展管理学术术年年会,北京,口头发表,2017,2017-08-19
3,4,Study on the Implementation Pathways and Key Impacts of RPS Target in China using a Dynamic Game-Theoretical Equilibrium Power Market Model,8th International Conference on Applied Energy,北京,口头发表,2016,2016-10-01
8,9,基于动态博弈均衡电力市场模型的中国RPS实施路径和关键影响研究,第七届能源经济与管理学术年会,南京,口头发表,2016,2016-10-16
4,5,Small modular reactors based off-grid zero-emission power system,International Symposium on Symbiotic Nuclear Power Systems,Kyoto,口头发表,2015,2015-08-01
5,6,Optimal Management for a Residential Micro-Grid,7th International Conference on Applied Energy,UAE Abu Dhabi,口头发表,2015,2015-03-01
6,7,"Study on the real-time 
pricing for an off-grid zero_x0002_emission power system based 
on game theory",第六届能源经济与管理学术年会暨第九届中国能源资源开发利用战略学术研讨会,广州,口头发表,2015,2015-11-11
7,8,实时电价与上网电价补贴政策对智能微电网优化管理的混合效应,第二届全国青年能源环境政策与管理学术会议,北京,口头发表,2015,2015-06-06
